instance_index,topology_type,family,B,H,n_nodes,n_edges,J_star,allocation_spearman_centrality,allocation_efficiency_score,budget_concentration,budget_active
178,mesh_2x5,mesh,7.47,22,10,26,0.9871353887182398,0.80511756018254,0.25241765734045596,0.13973140320351632,True
179,mesh_2x4,mesh,46.9,16,8,20,0.804367104873449,0.0,0.0,0.0,True
180,mesh_3x4,mesh,27.36,21,12,34,0.7816766992234752,0.4356156145892926,0.109188177206335,0.04307868512045867,True
181,er_n7_p0.44,er,31.97,11,7,19,0.15755657549331234,0.0,0.0,0.0,True
182,sp_sp5,sp,6.61,19,7,10,0.0,0.35355339059327373,0.28571428571397883,0.3999999999995704,True
183,mesh_2x2,mesh,33.0,25,4,8,0.4339853059788291,0.0,0.0,0.0,True
184,sp_sp3,sp,7.13,5,5,7,0.0,0.5000000000000001,0.33333333333286863,0.4714045207903745,True
185,sp_sp5,sp,12.16,6,7,10,0.6451433390090081,0.5789473684210528,0.22486912017236227,0.1666843348139177,True
186,sp_sp6,sp,4.73,17,8,10,0.0,0.26967994498529685,0.22222222222188912,0.37267799624940634,True
187,mesh_2x3,mesh,4.51,16,6,14,0.0,-0.3333333333333333,0.08333333333322376,0.43301270189165003,True
188,mesh_3x3,mesh,13.18,22,9,24,0.04411717697019878,0.5728715546977509,0.15685188790959323,0.14249226987458985,True
189,sp_sp5,sp,7.12,5,7,9,0.0,0.3227486121839514,0.30362116991618504,0.31843886388130493,True
190,mesh_2x5,mesh,15.11,24,10,26,0.8556514600516325,-0.16970008634792816,0.18310236338180227,0.16213099739134867,True
191,sp_sp5,sp,5.02,17,7,9,0.0,0.18633899812498247,0.1999999999996526,0.3999999999993052,True
192,sp_sp7,sp,23.6,6,9,9,0.9888003507931937,-0.23570226039551587,0.15645257591261727,0.12427238156264064,True
193,mesh_3x2,mesh,7.93,23,6,14,0.44473350038127524,0.8164965809277261,0.21219055827178876,0.2502379377187295,True
194,sp_sp6,sp,27.46,9,8,11,0.23828331633455668,0.0,0.10861897104920491,0.11961140349588299,True
195,er_n4_p0.31,er,13.77,7,4,7,0.7193517396793534,0.0,0.0,0.0,True
196,sp_sp6,sp,7.61,5,8,9,0.9652205127281965,-0.9856107606091624,0.08268095882011424,0.26243078492412725,True
197,sp_sp7,sp,14.86,7,9,11,0.7038638132735695,-0.06030226891555272,0.07518621973926622,0.16549747144382906,True
198,sp_sp5,sp,36.91,15,7,8,0.9650944130758402,0.0,0.0,0.0,True
199,sp_sp7,sp,4.09,9,9,11,0.9993216382142275,0.8090398349558906,0.3333333333328448,0.34992710611132644,True
200,sp_sp4,sp,3.74,17,6,7,0.0,0.5773502691896257,0.3333333333324546,0.43301270189107777,True
201,mesh_3x4,mesh,11.1,15,12,34,0.7098694255765605,0.10302042296151678,0.15060212590092462,0.16280809687809641,True
202,er_n6_p0.33,er,14.19,20,6,15,0.9663605464385483,-0.632455532033676,0.06146170218645098,0.14484127513992107,True
203,sp_sp2,sp,6.79,12,4,5,0.0,0.9999999999999999,0.4999999999993741,0.4999999999993741,True
204,mesh_3x3,mesh,6.98,22,9,24,0.0,-0.37340802240746923,0.08579105541967012,0.23407981162880004,True
205,sp_sp8,sp,32.64,6,10,12,0.9245811093749999,0.1878263710041785,0.10187784441322938,0.0966148373889777,True
206,mesh_3x2,mesh,7.12,17,6,14,0.0,0.0,0.0,0.0,True
207,mesh_2x5,mesh,13.47,22,10,26,0.48626171103198684,-0.1299139604923262,0.1503115264796655,0.21650635094598686,True
208,er_n7_p0.32,er,8.39,16,4,4,0.9944254122422821,0.9999999999999999,0.47282608695599515,0.44565217391246315,True
209,er_n10_p0.39,er,5.34,6,10,35,0.7701765302041147,0.37126414119311024,0.1607311185892115,0.13822360455859783,True
210,sp_sp3,sp,3.58,11,5,6,0.9937949391611446,0.5,0.33333333333273557,0.47140452079007444,True
211,mesh_3x2,mesh,3.61,21,6,14,0.0,0.8164965809277261,0.33333333333295473,0.4330127018917275,True
212,mesh_3x4,mesh,7.41,19,12,34,0.0,-0.3385229695691651,0.08911734058501423,0.16447009868820744,True
213,mesh_2x4,mesh,5.17,16,8,20,0.0,-0.11547005383792515,0.14300372682822393,0.26220561800780107,True
214,sp_sp5,sp,7.18,10,7,9,0.48887170215521075,0.7,0.20203800664999927,0.14796680186750116,True
215,er_n7_p0.41,er,6.68,6,7,18,0.12739722764005068,0.8944271909999159,0.26297797522022215,0.24495187257819526,True
216,mesh_2x3,mesh,8.24,25,6,14,0.9622336476197377,0.7745966692414834,0.20974509976630132,0.2500318873170111,True
217,mesh_3x4,mesh,22.59,17,12,34,0.95917766736528,0.726239796778063,0.20462322743716121,0.10700941757241865,True
218,er_n6_p0.38,er,10.23,15,6,10,0.26143089735459646,0.9486832980505139,0.2676157080301507,0.16779747278851956,True
219,er_n10_p0.33,er,31.57,14,10,33,0.8257545893634309,0.09352195295828246,0.11301703545384105,0.06907919863082986,True
220,er_n9_p0.44,er,3.22,16,9,28,0.9292415471447507,0.39285714285714296,0.19456895723765152,0.1689183006308089,True
221,er_n10_p0.32,er,15.06,8,10,28,0.5944008128006878,0.4761904761904762,0.14226120312281346,0.10376547411289451,True
222,mesh_2x4,mesh,10.73,22,8,20,0.292655370294339,0.840168050416806,0.33333333333304244,0.23582068988598254,True
223,er_n8_p0.32,er,12.9,20,6,12,0.9997386877383316,0.5000000000000001,0.21131561008848224,0.2673403760546532,True
224,mesh_3x3,mesh,4.46,24,9,24,0.0,0.2204792759220492,0.15624999999980416,0.349927106111444,True
225,mesh_2x4,mesh,6.33,21,8,20,0.0,0.4242640687119286,0.3333333333329247,0.37267799624950804,True
226,mesh_3x4,mesh,9.37,25,12,34,0.5940837421377767,0.250804045264487,0.1804164097819744,0.19386570881731338,True
227,sp_sp5,sp,1.95,19,7,9,0.0,0.3952847075210474,0.3333333333326513,0.3999999999991815,True
228,er_n5_p0.4,er,22.71,18,5,10,0.9938412822763638,0.0,0.0,0.0,True
229,mesh_2x5,mesh,15.54,18,10,26,0.0,0.09354143466934853,0.1926749102240187,0.1413746294187498,True
230,er_n8_p0.39,er,12.74,16,8,25,0.4527737801082469,0.7142857142857143,0.19298117921774183,0.08596304768311208,True
231,er_n6_p0.34,er,11.32,8,6,13,0.02451007073299072,0.316227766016838,0.19260966817531633,0.25126500728919376,True
232,er_n7_p0.42,er,13.47,11,7,16,0.2036160850724147,0.0,0.23001407560600473,0.22116533038290348,True
233,er_n6_p0.43,er,3.45,17,4,5,0.9990021577332671,0.9999999999999999,0.49653499653451033,0.4792099792095099,True
234,sp_sp8,sp,14.73,8,10,15,0.0,0.8405105148872368,0.32585620221823325,0.20981043824130408,True
235,er_n5_p0.32,er,15.05,18,3,2,0.9428412712761511,0.0,0.0,0.0,False
236,mesh_2x5,mesh,2.59,19,10,26,0.9791927561286824,0.20025046972870358,0.29719336411551295,0.21651093336642677,True
